Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
Guatemala,Varias Fincas,2025/232/1,El Trébol / Linea Gourmet,2025/232/1,Asociación Nacional del Cafe,1500-1600,Sierra De Las Minas,Varios Productores,300,30 kg,Asociacion Nacional Del Café,2024 / 2025,"March 31st, 2025",Evelin Isabel Hernández Paxtor,Caturra,Completed,Washed / Wet,7.67,7.83,7.5,7.83,7.67,7.83,10.0,10.0,10.0,7.75,0.0,84.08,10.4 %,0 full defects,2,Greenish,2 full defects,,"March 31st, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Taiwan,愛姬咖啡莊園Aiji Coffee Estate,2025花蓮縣第九屆精品咖啡評鑑批次,愛姬咖啡莊園Aiji Coffee Estate,,Taiwan Coffee Laboratory,150,"Shoufeng Township, Hualien County","劉孟宗LIOU,MENG-ZONG",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.75,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,0.0,84.08,11.7 %,0 full defects,0,GREENISH,0 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,瑞亦思．安咖啡莊園(Raise An Coffee Estate),2025臺南市國產精品咖啡評鑑批次,瑞亦思．安咖啡莊園(Raise An Coffee Estate),,Taiwan Coffee Laboratory,700,"臺南市東山區 Dongshan Dist., Tainan City","王威騰(Wang,Wei-Teng)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.67,7.83,7.75,7.67,7.67,7.75,10.0,10.0,10.0,7.67,0.0,84.0,8.4 %,0 full defects,0,GREENISH,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,志繼168咖啡園,785 SL34,益豐機械咖啡豆去皮脫殼機剝殼機兩用設備 100型,,志繼168咖啡園,580,桃園市復興區志繼部落,黃俊億,1,8 kg,Blossom Valley International宸嶧國際,2024 / 2025,"March 19th, 2025",黃俊億,SL34,Completed,Washed / Wet,7.67,7.75,7.75,7.83,7.58,7.75,10.0,10.0,10.0,7.67,0.0,84.0,11.3 %,0 full defects,0,Bluish-Green,0 full defects,,"March 19th, 2026",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
Colombia,VARIOS,3-01-14220,ALMACAFE BELLO ANTIOQUIA,3-01-14220,Federación de cafeteros de Colombia,1120 A 2060,Antioquia,VARIOS,375,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"May 2nd, 2025",Camilo Mosquera,CASTILLA COLOMBIA,Completed,Washed / Wet,8.0,7.75,7.75,7.67,7.5,7.5,10.0,10.0,10.0,7.83,0.0,84.0,10.7 %,5 full defects,0,Green,6 full defects,,"May 2nd, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Brazil,Ofi - Olam Food Ingredients,S040263-3,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1600,96000 kg,Brazil Specialty Coffee Association,2025,"September 22nd, 2025",ADRYELLI CRISTINA SILVA,Catuai,Completed,Natural / Dry,7.67,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,7.75,0.0,83.83,11.6 %,0 full defects,1,Green,5 full defects,,"September 22nd, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
Japan,cactus coffee farm & lab,2,cactus coffee farm & lab,,cactus coffee farm & lab,89,"Okinawa, Japan",Yayoi Nakasone,20,1 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 26th, 2025",Yayoi Nakasone,Mundo Novo,Completed,Natural / Dry,7.58,7.67,7.75,7.58,7.75,7.75,10.0,10.0,10.0,7.75,0.0,83.83,10.6 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Kenya,VARIOUS,CN 4124251021/K33713,VARIOUS,,C.Dorman SEZ Limited,1000-5000,CENTRAL KENYA,DORMAN,300,60 kg,Kenya Coffee Traders Association,2024 / 2025,"July 28th, 2025",URBANUS WACHANIA,SL28,Completed,Washed / Wet,7.83,7.58,7.67,8.0,7.58,7.5,10.0,10.0,10.0,7.67,0.0,83.83,11 %,0 full defects,0,Green,1 full defects,,"July 28th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Taiwan,大手咖啡,C04,大手咖啡,,Taiwan Coffee Laboratory,1250,嘉義/阿里山鄉,楊帛燊,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.92,7.75,7.58,7.67,7.42,7.75,10.0,10.0,10.0,7.75,0.0,83.83,9.3 %,0 full defects,0,Bluish-Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,晉揚欣金用心咖啡莊園 JinYunSin Tea Coffee Farm,C101,晉揚欣金用心咖啡莊園 JinYunSin Tea Coffee Farm,,Taiwan Coffee Laboratory,900-1200,"嘉義梅山, Meishan, Chiayi","洪欣延 Hong, Xin-Yan",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,7.75,7.75,7.75,7.67,7.5,7.67,10.0,10.0,10.0,7.67,0.0,83.75,11.2 %,0 full defects,0,Blue-Green,14 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Guatemala,La Demora,11/951/805,Beneficio Las Americas,11/951/805,Asociación Nacional del Cafe,1500,Santa Rosa,Francisco Amadeo Palencia Rivas,600,30 kg,Asociacion Nacional Del Café,2024 / 2025,"April 23rd, 2025",Evelin Isabel Hernández Paxtor,Catuai,Completed,Washed / Wet,7.67,7.75,7.5,7.83,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.75,10.5 %,0 full defects,1,Greenish,12 full defects,,"April 23rd, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Taiwan,COFEE BERRIES MANOR,C202,"Chiayi Agricultural Experiment Branch, TARI",,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,7.67,7.75,7.67,7.67,7.75,7.67,10.0,10.0,10.0,7.58,0.0,83.75,10.5 %,0 full defects,0,greenish,2 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Japan,Agaribaru Coffee Farm,AGARIBARU-2024-01,Same as farm,,Okinawa Cerrado Cofffee,103,"Nago City,Okinawa,Japan",Narihisa Sueyoshi,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2023 / 2024,"July 15th, 2025",Narihisa Sueyoshi,Mundo Novo,Completed,Washed / Wet,7.67,7.67,7.75,7.75,7.58,7.67,10.0,10.0,10.0,7.58,0.0,83.67,10.1 %,0 full defects,0,Green,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,伊德婆娑,C16,伊德婆娑,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,安高信,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.67,7.75,7.67,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.67,10.5 %,0 full defects,0,greenish,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,大埤頭農場,C105,大埤頭農場,,Taiwan Coffee Laboratory,200,"新北淡水, Tamsui, New Taipei",林月治,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Arabica,Completed,Washed / Wet,7.83,7.75,7.58,7.75,7.5,7.67,10.0,10.0,10.0,7.58,0.0,83.67,15.2 %,1 full defects,0,Green,10 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
"Tanzania, United Republic Of",Mbosho Farm,S75592/P06539,RAFIKI COFFEE LIMITED,AB FAQ,VOLCAFE/TaylorWinch Tanzania Ltd,1500,Kilimanjaro,Mbosho Coffee,320,60 kg,Kenya Coffee Traders Association,2024 / 2025,"April 1st, 2025",Balam Hinyula,Bourbon,Completed,Washed / Wet,7.67,7.58,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,0.0,83.58,11.9 %,0 full defects,0,Green,24 full defects,,"April 1st, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Taiwan,森悅高峰咖啡莊園 Sen Yue High Pk.,C115,森悅高峰咖啡莊園 Sen Yue High Pk.,,Taiwan Coffee Laboratory,1400,"南投仁愛, Ren’ai, Nantou",吳振宏 Chen-Hung Wu,1,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.83,7.75,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.5,10.5 %,0 full defects,0,Green,0 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Indonesia,Lucy Tedjasukmana,417,yes,,Lucy Tedjasukmana,1400,Ciwidey Kab Bandung Jawa Barat,Lucy Tedjasukmana,1,50 kg,EKATA COFFEE CENTER,2024 / 2025,"October 13th, 2025",shameel,Other,Completed,Washed / Wet,7.67,7.67,7.5,7.92,7.42,7.67,10.0,10.0,10.0,7.67,0.0,83.5,10.8 %,0 full defects,0,Bluish-Green,0 full defects,,"October 13th, 2026",EKATA COFFEE CENTER,"321/1, SIRAGUNDA VILLAGE, KASABA HOBLI, MUGTHIHALLI, CHIKKAMAGALURU, KARNATAKA, 577101",Shameel CP // Vivek Kolathai - +919995959888. - +919746845248
Ethiopia,YCFCU Halo Bariti,010/0150/0023,YCFCU Halo Bariti,010/0150/0023,"HARU International Corp, 守成咖啡",1850,Yirgacheffe,YCFCU Halo Bariti,320,60 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"August 20th, 2025",Anderson Wong,Ethiopian Heirlooms,Completed,Washed / Wet,7.75,7.75,7.58,7.75,7.5,7.5,10.0,10.0,10.0,7.67,0.0,83.5,9 %,0 full defects,0,Greenish,1 full defects,,"August 20th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,森悅高峰咖啡莊園 Sen Yue High Pk.,C116,森悅高峰咖啡莊園 Sen Yue High Pk.,,Taiwan Coffee Laboratory,1400,"南投仁愛, Ren’ai, Nantou",吳振宏 Chen-Hung Wu,1,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.67,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.5,11.4 %,0 full defects,0,Green,0 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Honduras,NO APPLY,239-AA91030-MB5736,BECAMO,,BECAMO,1200,Copan,REGION COFFEE,550,69 kg,Instituto Hondureño del Café,2024 / 2025,"February 14th, 2025",BECAMO SA,SHG,Completed,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.67,0.0,83.42,11.3 %,0 full defects,2,Green,5 full defects,,"February 14th, 2026",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
Colombia,BERLIN - LA ESTRELLA - LA GUAMERA - CALAMAR,3-0311-02883,TRILLADORA LA MESETA,3-0311-02883,COMPAÑIA CAFETERA LA MESETA SAS,1500,caldas,COMPAÑIA CAFETERA LA MESETA S.A,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"September 3rd, 2025",Vicente Antonio Agudelo Londoño,Castillo,Completed,Washed / Wet,7.67,7.75,7.58,7.5,7.58,7.67,10.0,10.0,10.0,7.67,0.0,83.42,11.5 %,0 full defects,0,Green,3 full defects,,"September 3rd, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Taiwan,泥妲咖啡,A05,泥妲咖啡,,Taiwan Coffee Laboratory,300-500,花蓮縣秀林鄉,戴豐秋,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.42,10 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Colombia,FINCA LAS ACACIAS - VEREDA JUANAMBU,3-59-02970,CARTAGO,3-59-02970,CARCAFE LTDA.,1959,NARIÑO,Segundo Viveros Santa Cruz,600,30 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"October 7th, 2025",Maria Paz Villada,Caturra,Completed,Washed / Wet,7.75,7.58,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.33,11 %,0 full defects,0,Green,2 full defects,,"October 7th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Taiwan,王煒曜,C15,王煒曜,,Taiwan Coffee Laboratory,1250,嘉義/阿里山鄉,王煒曜,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Natural / Dry,7.75,7.67,7.67,7.5,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.33,9.5 %,0 full defects,0,Yellowish,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,COFEE BERRIES MANOR,C204,"Chiayi Agricultural Experiment Branch, TARI",,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Bourbon,Completed,Washed / Wet,7.67,7.67,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.33,10.1 %,0 full defects,0,greenish,3 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Papua New Guinea,AAK ESTATES,AP43,LAHAMENEGU,166/4/42M,"Volcafe Limited, Japan",1500 - 2200,HIGHLANDS,PNGCE,600,30 kg,Coffee Quality Union,2025,"July 23rd, 2025",Volcafe Japan,Arusha,Completed,Washed / Wet,7.67,7.75,7.5,7.75,7.5,7.5,10.0,10.0,10.0,7.67,0.0,83.33,10.6 %,0 full defects,3,Green,5 full defects,,"July 23rd, 2026",Coffee Quality Union,3-24-9 Saiwai Otaru Hokkaido,Sakiko Kabeyama -
Taiwan,泥妲咖啡,A04,泥妲咖啡,,Taiwan Coffee Laboratory,300-500,花蓮縣秀林鄉,戴豐秋,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.75,7.67,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.58,0.0,83.33,10.1 %,0 full defects,0,yellow-green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
"Tanzania, United Republic Of",Burka Coffee Estates Ltd,K33827,NIL,033/DE/006/002,Burka Coffee Estates Ltd,1400,Arusha,Burka Coffee Estates Ltd,600,30 kg,Kenya Coffee Traders Association,2025 / 2026,"September 26th, 2025",Eliaringa E. Macha,Bourbon,Completed,Washed / Wet,7.75,7.5,7.5,7.75,7.75,7.5,10.0,10.0,10.0,7.58,0.0,83.33,11 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Brazil,Ofi - Olam Food Ingredients,S040263-1,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1600,96000 kg,Brazil Specialty Coffee Association,2025,"September 22nd, 2025",ADRYELLI CRISTINA SILVA,Catuai,Completed,Natural / Dry,7.5,7.58,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,0.0,83.25,11.5 %,0 full defects,1,Green,5 full defects,,"September 22nd, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
Vietnam,1500m Coffee,A456,1500m Coffee,,Rosa Garden Viet Nam,1650,"Xã Xuân Trường và Xã Xuân Thọ, Thành phố Đà Lạt, tỉnh Lâm Đồng",Nguyễn Thanh Sang,4000,1 kg,HQJ Coffee School,2024 / 2025,"August 18th, 2025",Nguyễn Hương Thi,Catimor,Completed,Natural / Dry,7.83,7.58,7.67,7.58,7.58,7.42,10.0,10.0,10.0,7.58,0.0,83.25,11 %,0 full defects,0,Green,0 full defects,,"August 18th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Colombia,La fortaleza,3-0104-00241 Popayán Supremo,Trilladora Pubenza/Café Colsuaves S.A.S,3-0104-00241,Cafe Colsuaves,1700,Popayán Cauca,La fortaleza,530,35 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"August 21st, 2025",pablo velosa,Caturra,Completed,Washed / Wet,7.75,7.75,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.42,0.0,83.25,10.7 %,0 full defects,0,Green,2 full defects,,"August 21st, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Indonesia,DANIEL SINAGA,3 tons,dry mill,,WARUNG KOPI SYNERGY,1590,Samosir,OLIVER DOHAR A.SIMBOLON,1,2 kg,5758 Coffee Lab,2024 / 2025,"May 29th, 2025",OLIVER DOHAR A.SIMBOLON,Sumatra,Completed,Washed / Wet,7.5,7.58,7.5,7.67,7.58,7.75,10.0,10.0,10.0,7.58,0.0,83.17,13 %,0 full defects,0,Green,5 full defects,,"May 29th, 2026",5758 Coffee Lab,"Rusa Pinus Raya E1-D, Jl. Pinus Raya Barat, Gegerkalong, Kota Bandung, Jawa Barat 40153, Indonesia",Adi W. Taroepratjeka - +62-8122021163
Vietnam,EaTan Cooperative,A1,Dry,,SIMEXCO DAKLAK LTD,850,Đắk Lắk,Hợp tác xã Ea Tân,8,60 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"September 29th, 2025",Simexco DakLak,Catimor,Completed,Washed / Wet,7.92,7.67,7.42,7.5,7.58,7.5,10.0,10.0,10.0,7.58,0.0,83.17,12.7 %,0 full defects,0,Greenish,0 full defects,,"September 29th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Taiwan,四季紅咖啡,C10,四季紅咖啡,,Taiwan Coffee Laboratory,1200,嘉義/阿里山鄉,徐英文,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Pulped natural / honey,7.58,7.58,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.58,0.0,83.08,10.1 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,思黑亞農場,A12,思黑亞農場,,Taiwan Coffee Laboratory,100,花蓮縣秀林鄉,蔡瑞光,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.75,7.58,7.58,7.67,7.5,7.5,10.0,10.0,10.0,7.5,0.0,83.08,9.6 %,0 full defects,0,greenish,1 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,森悅高峰咖啡莊園 Sen Yue High Pk.,C114,森悅高峰咖啡莊園 Sen Yue High Pk.,,Taiwan Coffee Laboratory,1350,"南投仁愛, Ren’ai, Nantou",吳振宏 Chen-Hung Wu,1,20 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2020 / 2021,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.67,7.67,7.67,7.58,7.42,7.5,10.0,10.0,10.0,7.58,0.0,83.08,10.5 %,0 full defects,0,Green,0 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,文山咖啡農園,A07,文山咖啡農園,,Taiwan Coffee Laboratory,300,花蓮縣秀林鄉,丁春香,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.58,10.0,10.0,10.0,7.5,0.0,82.92,9 %,0 full defects,0,Bluish-Green,1 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,林秀貞,A02,林秀貞,,Taiwan Coffee Laboratory,100,花蓮縣秀林鄉,林秀貞,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Washed / Wet,7.58,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,7.5,0.0,82.92,11.9 %,0 full defects,0,Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
